id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/inscrits 2,"2,29%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/inscrits 2,"7,65%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/exprimés 2,"3,61%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/exprimés 2,"12,32%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Elu 2,
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Elu 2,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Numéro de panneau 3,3
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Numéro de panneau 3,3
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nuance candidat 3,COM
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nuance candidat 3,REG
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nom candidat 3,LEROY
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nom candidat 3,CHIOCCA
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Prénom candidat 3,Marc-Antoine
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Prénom candidat 3,Michel
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Sexe candidat 3,MASCULIN
